User ID,Last Name,First Name,Middle Name,Honorific Prefix,Honorific Suffix,Display Name,Nick Name,Title,User Type,Locale,Preferred Language,TimeZone,Active,Work Email,Primary Email Type,Work Phone,Mobile No,Work Street Address,Work City,Work State,Work Postal Code,Work Country,Federated,Employee Number,Cost Center,Organization,Division,Department,Manager Name
dcrane,Crane,Danny,W,dr,suff,Danny Crane,Danny,Mr,Employee,en,en-US,Etc/UTC,TRUE,demoidcs+user1@gmail.com,work,9800000000,9800000001,Plot 8,Belmont,California,201301,US,FALSE,10,I1RB,IN,Division1,D2,
sdowns,Downs,Sally,A,dr,suff,Sally Downs,Sally,Mrs,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user2@gmail.com,,9800000000,9800000001,Plot 8,San Mateo,california,201301,US,FALSE,20,I1RB,IN,Division1,D2,
gdavis,Davis,Grace,V,dr,suff,Grace Davis,Grace,Ms,Employee,en,fr,Etc/UTC,TRUE,demoidcs+user3@gmail.com,,9800000000,9800000001,Plot 8,belmont,California,201301,US,FALSE,30,I1RB,IN,Division1,D2,
jwells,Wells,John,T,dr,suff,John Wells,Jhonny,Mr,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user4@gmail.com,,9800000000,9800000001,Plot 8,Fremont,California,201301,US,FALSE,40,I1RB,IN,Division1,D2,
echen,Chen,Ernie,W,dr,suff,Ernie Chen,Ernie,Mr,Employee,en,en-US,Etc/UTC,TRUE,demoidcs+user5@gmail.com,work,9800000000,9800000001,Plot 8,Belmont,California,201301,US,FALSE,10,I1RB,IN,Division1,D2,
nito,Ito,Noriko,A,dr,suff,Noriko Ito,Noriko,Mrs,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user6@gmail.com,,9800000000,9800000001,Plot 8,San Mateo,california,201301,US,FALSE,20,I1RB,IN,Division1,D2,
rsharma,Sharma,Rohit,V,dr,suff,Rohit Sharma,Rohit,Mr,Employee,en,fr,Etc/UTC,TRUE,demoidcs+user7@gmail.com,,9800000000,9800000001,Plot 8,belmont,California,201301,US,FALSE,30,I1RB,IN,Division1,D2,
rsingh,Singh,Robin,T,dr,suff,Robin Singh,Robin,Mr,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user8@gmail.com,,9800000000,9800000001,Plot 8,Fremont,California,201301,US,FALSE,40,I1RB,IN,Division1,D2,
cburks,Burks,Cora,W,dr,suff,Cora Burks,Corab,Ms,Employee,en,en-US,Etc/UTC,TRUE,demoidcs+user9@gmail.com,work,9800000000,9800000001,Plot 8,Belmont,California,201301,US,FALSE,10,I1RB,IN,Division1,D2,
mhines,Hines,Malia,A,dr,suff,Malia Hines,Malia,Mrs,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user10@gmail.com,,9800000000,9800000001,Plot 8,San Mateo,california,201301,US,FALSE,20,I1RB,IN,Division1,D2,
hkaul,Kaul,Hans,V,dr,suff,Hans Kaul,Hansk,Mr,Employee,en,fr,Etc/UTC,TRUE,demoidcs+user11@gmail.com,,9800000000,9800000001,Plot 8,belmont,California,201301,US,FALSE,30,I1RB,IN,Division1,D2,
aolsen,Olsen,Amy,T,dr,suff,Amy Olsen,Amyol,Mrs,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user12@gmail.com,,9800000000,9800000001,Plot 8,Fremont,California,201301,US,FALSE,40,I1RB,IN,Division1,D2,
jschultz,Schultz,John,W,dr,suff,John Schultz,Johns,Mr,Employee,en,en-US,Etc/UTC,TRUE,demoidcs+user13@gmail.com,work,9800000000,9800000001,Plot 8,Belmont,California,201301,US,FALSE,10,I1RB,IN,Division1,D2,
malvaro,Alvaro,Miguel,A,dr,suff,Miguel Alvaro,Miguel,Mrs,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user14@gmail.com,,9800000000,9800000001,Plot 8,San Mateo,california,201301,US,FALSE,20,I1RB,IN,Division1,D2,
jhope,Hope,John,V,dr,suff,John Hope,Johnh,Mr,Employee,en,fr,Etc/UTC,TRUE,demoidcs+user15@gmail.com,,9800000000,9800000001,Plot 8,belmont,California,201301,US,FALSE,30,I1RB,IN,Division1,D2,
bjones,Jones,Ben,T,dr,suff,Ben Jones,Benjo,Mr,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user16@gmail.com,,9800000000,9800000001,Plot 8,Fremont,California,201301,US,FALSE,40,I1RB,IN,Division1,D2,
elee,Lee,Eric,W,dr,suff,Eric Lee,Ericl,Mr,Employee,en,en-US,Etc/UTC,TRUE,demoidcs+user17@gmail.com,work,9800000000,9800000001,Plot 8,Belmont,California,201301,US,FALSE,10,I1RB,IN,Division1,D2,
cmiller,Miller,Chuck,A,dr,suff,Chuck Miller,Chuck,Mrs,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user18@gmail.com,,9800000000,9800000001,Plot 8,San Mateo,california,201301,US,FALSE,20,I1RB,IN,Division1,D2,
atorres,Torres,Anna,V,dr,suff,Anna Torres,Annat,Ms,Employee,en,fr,Etc/UTC,TRUE,demoidcs+user19@gmail.com,,9800000000,9800000001,Plot 8,belmont,California,201301,US,FALSE,30,I1RB,IN,Division1,D2,
tbaker,Baker,Tom,T,dr,suff,Tom Baker,Tomba,Mr,Employee,en,en-US,America/Los_Angeles,TRUE,demoidcs+user20@gmail.com,,9800000000,9800000001,Plot 8,Fremont,California,201301,US,FALSE,40,I1RB,IN,Division1,D2,
